"year","theme_id","theme_name","relative","n_items","source_name","target_name"
2013,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2002,118,Promotional,son,21,"112-Racers","118-Promotional"
2015,524,Service Packs,son,369,"507-Educational and Dacta","524-Service Packs"
1962,372,Town Plan,son,57,"365-System","372-Town Plan"
2017,653,DC Comics,son,9,"504-Duplo","653-DC Comics"
2007,626,Bob the Builder,son,31,"504-Duplo","626-Bob the Builder"
2023,65,Arctic,son,25,"52-City","65-Arctic"
2024,579,Disney Princess,son,100,"608-Disney","579-Disney Princess"
1985,234,"12V",son,65,"233-Train","234-12V"
1976,729,Airlines,son,17,"598-Promotional","729-Airlines"
1992,148,Pirates I,son,82,"147-Pirates","148-Pirates I"
2017,55,Coast Guard,son,28,"52-City","55-Coast Guard"
2006,58,Fire,son,120,"52-City","58-Fire"
2021,509,SPIKE,son,33,"507-Educational and Dacta","509-SPIKE"
2001,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2008,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2000,261,Star Wars,son,3,"258-Mindstorms","261-Star Wars"
2018,230,Halloween,son,31,"206-Seasonal","230-Halloween"
2003,229,Easter,son,50,"206-Seasonal","229-Easter"
2017,53,Airport,son,40,"52-City","53-Airport"
1982,21,Universal Building Set,son,23,"1-Technic","21-Universal Building Set"
1991,227,Christmas,son,199,"206-Seasonal","227-Christmas"
1996,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2004,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2022,388,Mickey Mouse,son,15,"608-Disney","388-Mickey Mouse"
2012,634,Trains,son,73,"504-Duplo","634-Trains"
1990,453,Technic,son,152,"443-Service Packs","453-Technic"
2024,229,Easter,son,50,"206-Seasonal","229-Easter"
2011,227,Christmas,son,199,"206-Seasonal","227-Christmas"
2016,63,Traffic,son,62,"52-City","63-Traffic"
2014,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2018,592,DC Comics Super Heroes,son,5,"591-Juniors","592-DC Comics Super Heroes"
2017,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2000,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2020,53,Airport,son,40,"52-City","53-Airport"
1995,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2012,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
2000,657,Action Wheelers,son,9,"504-Duplo","657-Action Wheelers"
1995,190,Dragon Knights,son,14,"186-Castle","190-Dragon Knights"
2022,509,SPIKE,son,33,"507-Educational and Dacta","509-SPIKE"
